Rank,Antecedent (IF),Consequent (THEN),Support,Confidence,Lift
61,"Feedback Type=Complaint, Gender=Female, Resolution Status=Resolved, Transaction Type=Deposit",CC_Utilization_Category=Moderate,0.011,0.5392,1.4197
62,"Account Type=Current, Age_Group=Established, Feedback Type=Suggestion, Gender=Female",Resolution Status=Pending,0.0108,0.7105,1.4188
63,"Account Type=Current, Age_Group=Established, Loan Status=Approved, Resolution Status=Pending",Transaction_Size=Very Large,0.0146,0.5615,1.418
64,"Account Type=Savings, Feedback Type=Praise, Loan Status=Rejected, Loan Type=Auto",Transaction_Size=Large,0.0104,0.5714,1.413
65,"Account Type=Savings, Loan Status=Rejected, Loan Type=Auto, Rate_Category=Low",Transaction_Size=Large,0.0104,0.5714,1.413
66,"Age_Group=Pre-Retirement, Card Type=MasterCard, Loan_Size=Medium, Resolution Status=Pending",Account Type=Savings,0.0102,0.7083,1.4127
67,"Card Type=Visa, Feedback Type=Praise, Loan_Size=Large, Resolution Status=Pending",Balance_Bucket=Comfortable,0.0118,0.7195,1.4125
68,"CC_Utilization_Category=Low, Gender=Male, Loan Type=Mortgage, Resolution Status=Resolved",Transaction_Size=Very Large,0.0104,0.5591,1.412
69,"Account Type=Current, Age_Group=Young Adult, Feedback Type=Complaint",CC_Utilization_Category=Moderate,0.0134,0.536,1.4113
70,"CC_Utilization_Category=Low, Feedback Type=Praise, Loan Status=Closed, Transaction_Size=Very Large",Resolution Status=Resolved,0.01,0.7042,1.4107
71,"Account Type=Current, Age_Group=Pre-Retirement, Balance_Bucket=Comfortable, Loan Status=Approved",Transaction_Size=Very Large,0.0134,0.5583,1.4099
72,"Balance_Bucket=Mass-Market, Feedback Type=Complaint, Rate_Category=Moderate, Resolution Status=Resolved",Transaction_Size=Very Large,0.0116,0.5577,1.4083
73,"CC_Utilization_Category=Low, Feedback Type=Praise, Transaction Type=Transfer, Transaction_Size=Very Large",Resolution Status=Resolved,0.0104,0.7027,1.4077
74,"Feedback Type=Complaint, Loan Type=Mortgage, Rate_Category=Moderate, Resolution Status=Resolved",Transaction_Size=Very Large,0.0108,0.5567,1.4058
75,"Account Type=Current, Card Type=Visa, Loan_Size=Large, Rate_Category=Low",Transaction_Size=Very Large,0.0108,0.5567,1.4058
76,"Account Type=Current, Feedback Type=Suggestion, Loan Status=Approved, Transaction Type=Transfer",Transaction_Size=Very Large,0.0118,0.5566,1.4056
77,"CC_Utilization_Category=Moderate, Loan Status=Approved, Loan_Size=Large, Transaction Type=Deposit",Resolution Status=Pending,0.0114,0.7037,1.4052
78,"Age_Group=Early Career, Loan Status=Closed, Transaction_Size=Very Large",CC_Utilization_Category=Moderate,0.0114,0.5327,1.4026
79,"Age_Group=Established, Feedback Type=Praise, Loan_Size=Large, Resolution Status=Pending",Balance_Bucket=Comfortable,0.01,0.7143,1.4022
80,"Card Type=MasterCard, Gender=Male, Loan Status=Rejected, Resolution Status=Resolved",Transaction_Size=Large,0.011,0.567,1.4021
81,"Card Type=MasterCard, Gender=Female, Rate_Category=High, Transaction Type=Withdrawal",Account Type=Current,0.0116,0.6988,1.4015
82,"Account Type=Savings, Card Type=AMEX, Loan_Size=Very Large, Transaction_Size=Very Large",CC_Utilization_Category=Moderate,0.0116,0.5321,1.401
