Age_Group,Gender,Account Type,Balance_Bucket,Transaction_Size,Transaction Type,Loan_Size,Loan Type,Loan Status,Rate_Category,Card Type,CC_Utilization_Category,Feedback Type,Resolution Status
Young Adult,Other,Savings,Comfortable,Large,Withdrawal,Large,Personal,Approved,High,AMEX,Moderate,Praise,Resolved
Senior,Other,Savings,Comfortable,Large,Transfer,Medium,Mortgage,Closed,Moderate,AMEX,High,Praise,Pending
Established,Other,Current,Below-Minimum,Very Large,Transfer,Very Large,Mortgage,Closed,High,MasterCard,Low,Suggestion,Resolved
Established,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,MasterCard,Moderate,Suggestion,Resolved
Early Career,Female,Current,Comfortable,Large,Transfer,Large,Personal,Approved,Moderate,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Female,Current,Below-Minimum,Large,Transfer,Large,Auto,Closed,High,Visa,Low,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Withdrawal,Very Large,Mortgage,Rejected,High,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Other,Current,Mass-Market,Large,Deposit,Small,Mortgage,Approved,Moderate,AMEX,Moderate,Complaint,Pending
Senior,Male,Current,Comfortable,Very Large,Withdrawal,Large,Mortgage,Rejected,Low,AMEX,Moderate,Praise,Pending
Early Career,Other,Savings,Comfortable,Very Large,Deposit,Small,Mortgage,Approved,Low,MasterCard,Over-Limit,Praise,Resolved
Established,Male,Savings,Comfortable,Large,Transfer,Very Large,Mortgage,Approved,Low,AMEX,Over-Limit,Praise,Pending
Senior,Female,Savings,Comfortable,Everyday,Deposit,Medium,Auto,Approved,Moderate,MasterCard,Moderate,Praise,Resolved
Established,Female,Current,Comfortable,Everyday,Withdrawal,Large,Mortgage,Closed,Low,MasterCard,Moderate,Suggestion,Pending
Established,Other,Savings,Comfortable,Everyday,Transfer,Large,Personal,Rejected,High,Visa,Moderate,Suggestion,Pending
Early Career,Male,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Rejected,Moderate,AMEX,Low,Praise,Resolved
Early Career,Male,Current,Mass-Market,Large,Withdrawal,Very Large,Mortgage,Closed,Moderate,Visa,Moderate,Praise,Resolved
Established,Female,Current,Comfortable,Very Large,Deposit,Small,Auto,Approved,Low,MasterCard,High,Praise,Resolved
Pre-Retirement,Female,Savings,Comfortable,Very Large,Withdrawal,Very Large,Mortgage,Approved,Moderate,AMEX,Over-Limit,Praise,Resolved
Established,Male,Savings,Mass-Market,Very Large,Transfer,Medium,Auto,Approved,High,AMEX,Low,Praise,Pending
Pre-Retirement,Male,Current,Comfortable,Large,Withdrawal,Medium,Mortgage,Rejected,High,AMEX,Moderate,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Large,Deposit,Large,Personal,Rejected,High,AMEX,Low,Praise,Pending
Established,Male,Savings,Mass-Market,Large,Transfer,Very Large,Mortgage,Rejected,Low,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Large,Transfer,Medium,Auto,Approved,Low,AMEX,Low,Praise,Pending
Senior,Male,Savings,Comfortable,Very Large,Withdrawal,Medium,Personal,Approved,Moderate,AMEX,Over-Limit,Praise,Resolved
Early Career,Other,Current,Mass-Market,Large,Transfer,Very Large,Auto,Approved,High,AMEX,Moderate,Suggestion,Resolved
Senior,Female,Current,Below-Minimum,Everyday,Deposit,Very Large,Auto,Rejected,Low,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Everyday,Transfer,Medium,Mortgage,Approved,High,AMEX,Low,Suggestion,Resolved
Young Adult,Female,Savings,Comfortable,Large,Withdrawal,Medium,Personal,Approved,Low,Visa,Moderate,Complaint,Resolved
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Large,Mortgage,Closed,Moderate,Visa,Moderate,Complaint,Resolved
Early Career,Other,Current,Comfortable,Large,Transfer,Medium,Auto,Rejected,High,AMEX,Moderate,Praise,Pending
Senior,Other,Savings,Below-Minimum,Very Large,Deposit,Large,Personal,Rejected,Moderate,MasterCard,High,Suggestion,Pending
Young Adult,Other,Current,Comfortable,Very Large,Transfer,Medium,Mortgage,Rejected,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Female,Savings,Below-Minimum,Everyday,Transfer,Medium,Auto,Rejected,Moderate,AMEX,Moderate,Praise,Pending
Pre-Retirement,Other,Savings,Comfortable,Large,Withdrawal,Medium,Personal,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Established,Female,Current,Comfortable,Large,Transfer,Very Large,Mortgage,Closed,Low,AMEX,Low,Praise,Resolved
Established,Other,Current,Comfortable,Large,Deposit,Medium,Personal,Closed,High,AMEX,High,Praise,Pending
Early Career,Female,Current,Below-Minimum,Large,Deposit,Very Large,Personal,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Established,Other,Current,Below-Minimum,Very Large,Deposit,Very Large,Mortgage,Approved,Low,MasterCard,High,Complaint,Resolved
Young Adult,Male,Savings,Below-Minimum,Very Large,Deposit,Small,Auto,Approved,Low,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Male,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Closed,Low,AMEX,Low,Complaint,Pending
Pre-Retirement,Female,Current,Mass-Market,Large,Transfer,Medium,Mortgage,Approved,Moderate,AMEX,Low,Praise,Resolved
Established,Other,Current,Comfortable,Very Large,Deposit,Medium,Personal,Rejected,Low,MasterCard,Moderate,Suggestion,Resolved
Established,Other,Savings,Mass-Market,Very Large,Deposit,Medium,Mortgage,Approved,Low,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Male,Current,Comfortable,Large,Transfer,Medium,Personal,Approved,Moderate,Visa,Moderate,Complaint,Pending
Senior,Other,Savings,Mass-Market,Everyday,Transfer,Medium,Auto,Approved,High,Visa,Low,Praise,Pending
Established,Other,Savings,Comfortable,Everyday,Deposit,Medium,Personal,Approved,Moderate,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Female,Current,Below-Minimum,Large,Deposit,Very Large,Mortgage,Closed,Moderate,Visa,High,Complaint,Pending
Established,Male,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Approved,Low,MasterCard,Low,Complaint,Pending
Young Adult,Other,Current,Comfortable,Very Large,Deposit,Medium,Mortgage,Approved,Low,Visa,Moderate,Praise,Pending
Established,Other,Savings,Mass-Market,Large,Deposit,Medium,Auto,Rejected,Low,MasterCard,Moderate,Suggestion,Resolved
Early Career,Female,Savings,Comfortable,Very Large,Withdrawal,Medium,Mortgage,Closed,High,Visa,Low,Praise,Pending
Established,Female,Current,Comfortable,Very Large,Transfer,Large,Mortgage,Rejected,High,MasterCard,Over-Limit,Complaint,Resolved
Established,Female,Current,Comfortable,Everyday,Transfer,Medium,Personal,Approved,High,Visa,Over-Limit,Suggestion,Resolved
Senior,Female,Savings,Mass-Market,Large,Transfer,Large,Mortgage,Approved,Low,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Everyday,Deposit,Very Large,Personal,Rejected,Moderate,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Other,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Rejected,Moderate,AMEX,Low,Praise,Resolved
Young Adult,Other,Savings,Comfortable,Very Large,Withdrawal,Large,Mortgage,Approved,High,MasterCard,Moderate,Complaint,Pending
Established,Female,Savings,Comfortable,Large,Deposit,Large,Auto,Rejected,High,MasterCard,High,Praise,Resolved
Young Adult,Other,Savings,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,High,MasterCard,Moderate,Complaint,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Deposit,Very Large,Mortgage,Approved,Moderate,AMEX,Low,Complaint,Pending
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Medium,Mortgage,Closed,Moderate,MasterCard,Over-Limit,Praise,Pending
Pre-Retirement,Other,Current,Mass-Market,Large,Transfer,Very Large,Personal,Rejected,High,MasterCard,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Everyday,Withdrawal,Medium,Personal,Closed,Moderate,MasterCard,Moderate,Complaint,Pending
Senior,Male,Current,Comfortable,Very Large,Withdrawal,Medium,Personal,Approved,High,Visa,Moderate,Praise,Resolved
Established,Other,Current,Mass-Market,Large,Withdrawal,Large,Mortgage,Closed,Low,AMEX,Moderate,Suggestion,Pending
Early Career,Male,Savings,Comfortable,Very Large,Transfer,Medium,Mortgage,Closed,High,MasterCard,Moderate,Suggestion,Pending
Established,Male,Savings,Comfortable,Very Large,Transfer,Large,Mortgage,Approved,High,AMEX,Over-Limit,Suggestion,Pending
Established,Male,Current,Below-Minimum,Very Large,Withdrawal,Very Large,Personal,Approved,Moderate,AMEX,Over-Limit,Praise,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Transfer,Large,Personal,Closed,High,Visa,Over-Limit,Praise,Pending
Established,Other,Savings,Comfortable,Very Large,Transfer,Small,Auto,Closed,High,AMEX,Over-Limit,Suggestion,Resolved
Pre-Retirement,Male,Current,Mass-Market,Large,Withdrawal,Medium,Personal,Rejected,Moderate,Visa,Low,Praise,Pending
Established,Other,Current,Comfortable,Large,Deposit,Small,Auto,Closed,High,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Male,Savings,Below-Minimum,Very Large,Withdrawal,Very Large,Auto,Rejected,Low,Visa,Low,Suggestion,Resolved
Established,Male,Savings,Below-Minimum,Everyday,Deposit,Very Large,Personal,Closed,Moderate,Visa,Low,Suggestion,Pending
Established,Male,Savings,Comfortable,Large,Transfer,Very Large,Mortgage,Rejected,Low,AMEX,Over-Limit,Complaint,Resolved
Early Career,Other,Savings,Below-Minimum,Very Large,Deposit,Very Large,Personal,Closed,Low,AMEX,Moderate,Suggestion,Resolved
Pre-Retirement,Male,Savings,Comfortable,Very Large,Deposit,Large,Auto,Approved,High,MasterCard,Low,Suggestion,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Deposit,Very Large,Mortgage,Approved,Moderate,Visa,Low,Complaint,Resolved
Young Adult,Female,Savings,Below-Minimum,Very Large,Deposit,Large,Personal,Closed,High,AMEX,Moderate,Praise,Resolved
Established,Male,Current,Below-Minimum,Everyday,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Resolved
Established,Female,Savings,Mass-Market,Large,Withdrawal,Medium,Auto,Closed,Moderate,AMEX,Low,Praise,Pending
Early Career,Other,Savings,Comfortable,Very Large,Withdrawal,Large,Personal,Approved,Moderate,Visa,Moderate,Praise,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,High,MasterCard,Moderate,Suggestion,Pending
Pre-Retirement,Male,Current,Comfortable,Very Large,Withdrawal,Large,Auto,Approved,High,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Large,Personal,Closed,Moderate,MasterCard,Low,Praise,Resolved
Pre-Retirement,Female,Current,Mass-Market,Very Large,Withdrawal,Very Large,Personal,Closed,High,AMEX,Moderate,Suggestion,Pending
Early Career,Male,Current,Mass-Market,Very Large,Withdrawal,Small,Mortgage,Closed,Moderate,AMEX,Low,Praise,Resolved
Senior,Other,Savings,Mass-Market,Very Large,Transfer,Very Large,Mortgage,Approved,High,Visa,Over-Limit,Complaint,Resolved
Pre-Retirement,Female,Savings,Comfortable,Large,Withdrawal,Very Large,Mortgage,Rejected,Moderate,MasterCard,Over-Limit,Praise,Resolved
Established,Male,Savings,Comfortable,Very Large,Deposit,Large,Personal,Closed,Moderate,AMEX,Moderate,Complaint,Resolved
Established,Female,Savings,Mass-Market,Large,Withdrawal,Medium,Mortgage,Approved,High,AMEX,Over-Limit,Suggestion,Resolved
Young Adult,Other,Current,Mass-Market,Very Large,Transfer,Large,Mortgage,Closed,Moderate,MasterCard,Low,Praise,Resolved
Established,Female,Current,Comfortable,Large,Withdrawal,Medium,Mortgage,Approved,High,MasterCard,Low,Complaint,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Medium,Personal,Approved,High,MasterCard,Low,Praise,Pending
Established,Female,Current,Below-Minimum,Very Large,Transfer,Large,Personal,Rejected,Moderate,MasterCard,Low,Praise,Resolved
Senior,Other,Savings,Mass-Market,Large,Withdrawal,Large,Auto,Closed,Low,Visa,Moderate,Praise,Resolved
Established,Male,Current,Mass-Market,Large,Deposit,Medium,Personal,Closed,High,Visa,Moderate,Praise,Resolved
Early Career,Male,Savings,Comfortable,Very Large,Deposit,Medium,Personal,Approved,Low,Visa,Low,Complaint,Resolved
Senior,Male,Savings,Below-Minimum,Very Large,Deposit,Large,Mortgage,Closed,High,MasterCard,Over-Limit,Praise,Resolved
Young Adult,Male,Current,Comfortable,Large,Withdrawal,Large,Mortgage,Rejected,Moderate,Visa,Moderate,Suggestion,Resolved
Young Adult,Other,Current,Below-Minimum,Very Large,Transfer,Medium,Personal,Closed,High,AMEX,Low,Praise,Pending
Young Adult,Male,Current,Comfortable,Large,Withdrawal,Small,Personal,Approved,Moderate,Visa,Over-Limit,Suggestion,Pending
Senior,Other,Savings,Comfortable,Very Large,Transfer,Medium,Mortgage,Approved,Moderate,AMEX,Low,Praise,Resolved
Established,Other,Current,Below-Minimum,Very Large,Transfer,Very Large,Mortgage,Approved,Low,AMEX,Low,Suggestion,Resolved
Pre-Retirement,Female,Savings,Mass-Market,Very Large,Deposit,Large,Mortgage,Closed,High,Visa,Low,Praise,Pending
Established,Female,Savings,Mass-Market,Very Large,Deposit,Very Large,Auto,Approved,Low,AMEX,Moderate,Praise,Pending
Early Career,Male,Savings,Mass-Market,Very Large,Deposit,Large,Mortgage,Approved,Moderate,AMEX,Moderate,Praise,Resolved
Pre-Retirement,Male,Savings,Comfortable,Large,Withdrawal,Very Large,Auto,Closed,Moderate,Visa,Over-Limit,Complaint,Pending
Established,Other,Current,Mass-Market,Large,Transfer,Large,Personal,Closed,High,AMEX,Low,Suggestion,Pending
Pre-Retirement,Female,Savings,Below-Minimum,Very Large,Deposit,Large,Mortgage,Approved,Moderate,Visa,Low,Suggestion,Resolved
Young Adult,Male,Savings,Comfortable,Everyday,Withdrawal,Large,Auto,Approved,Low,MasterCard,High,Suggestion,Resolved
Pre-Retirement,Male,Savings,Comfortable,Large,Transfer,Small,Mortgage,Approved,Moderate,MasterCard,High,Suggestion,Pending
Pre-Retirement,Other,Current,Below-Minimum,Very Large,Transfer,Small,Mortgage,Approved,Low,AMEX,Low,Complaint,Pending
Early Career,Female,Current,Mass-Market,Everyday,Withdrawal,Medium,Personal,Rejected,Low,AMEX,Moderate,Complaint,Pending
Established,Male,Current,Below-Minimum,Very Large,Transfer,Large,Auto,Rejected,Moderate,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Male,Savings,Below-Minimum,Very Large,Withdrawal,Large,Auto,Approved,Moderate,Visa,High,Suggestion,Pending
Young Adult,Male,Current,Below-Minimum,Very Large,Deposit,Large,Mortgage,Closed,Low,MasterCard,Low,Suggestion,Resolved
Established,Male,Current,Comfortable,Very Large,Transfer,Very Large,Personal,Closed,Low,MasterCard,Moderate,Suggestion,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Withdrawal,Very Large,Personal,Rejected,Moderate,MasterCard,Moderate,Praise,Pending
Established,Male,Savings,Comfortable,Large,Deposit,Very Large,Personal,Rejected,High,MasterCard,High,Complaint,Resolved
Senior,Female,Current,Mass-Market,Very Large,Deposit,Large,Mortgage,Rejected,High,AMEX,Moderate,Complaint,Resolved
Early Career,Other,Current,Comfortable,Everyday,Deposit,Medium,Personal,Closed,Low,MasterCard,Moderate,Praise,Pending
Early Career,Other,Savings,Below-Minimum,Large,Transfer,Medium,Personal,Rejected,High,MasterCard,Moderate,Complaint,Pending
Established,Other,Current,Comfortable,Large,Deposit,Medium,Personal,Closed,Low,AMEX,Low,Complaint,Pending
Young Adult,Male,Savings,Mass-Market,Very Large,Deposit,Medium,Auto,Closed,Moderate,AMEX,Moderate,Suggestion,Pending
Established,Other,Savings,Mass-Market,Everyday,Deposit,Large,Personal,Rejected,High,Visa,Low,Praise,Pending
Early Career,Female,Savings,Comfortable,Everyday,Withdrawal,Small,Personal,Approved,Moderate,AMEX,Moderate,Complaint,Resolved
Established,Male,Savings,Below-Minimum,Very Large,Transfer,Large,Mortgage,Approved,Moderate,MasterCard,Low,Suggestion,Pending
Established,Female,Current,Comfortable,Large,Deposit,Large,Auto,Closed,High,MasterCard,Low,Praise,Resolved
Pre-Retirement,Male,Savings,Comfortable,Everyday,Transfer,Large,Personal,Closed,Low,MasterCard,Low,Praise,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Small,Personal,Rejected,Low,Visa,Moderate,Complaint,Resolved
Established,Other,Current,Comfortable,Large,Withdrawal,Medium,Auto,Approved,High,Visa,Over-Limit,Suggestion,Resolved
Pre-Retirement,Female,Current,Mass-Market,Very Large,Deposit,Large,Auto,Rejected,High,Visa,Low,Complaint,Pending
Established,Other,Current,Mass-Market,Very Large,Transfer,Small,Personal,Approved,Moderate,AMEX,Moderate,Praise,Pending
Young Adult,Male,Savings,Comfortable,Everyday,Deposit,Very Large,Auto,Closed,Moderate,MasterCard,Moderate,Praise,Resolved
Early Career,Female,Savings,Comfortable,Large,Transfer,Very Large,Personal,Rejected,Low,Visa,Moderate,Praise,Pending
Young Adult,Female,Savings,Mass-Market,Everyday,Transfer,Large,Auto,Closed,High,MasterCard,Over-Limit,Suggestion,Pending
Established,Male,Current,Comfortable,Very Large,Withdrawal,Very Large,Personal,Rejected,Moderate,Visa,Moderate,Suggestion,Resolved
Early Career,Other,Current,Mass-Market,Very Large,Deposit,Large,Auto,Rejected,Moderate,AMEX,Moderate,Suggestion,Pending
Pre-Retirement,Male,Savings,Comfortable,Large,Transfer,Large,Personal,Closed,Low,AMEX,Low,Suggestion,Pending
Established,Female,Savings,Below-Minimum,Very Large,Withdrawal,Large,Auto,Closed,Moderate,MasterCard,Over-Limit,Suggestion,Pending
Early Career,Female,Savings,Mass-Market,Very Large,Transfer,Very Large,Auto,Rejected,High,MasterCard,Low,Suggestion,Resolved
Early Career,Female,Current,Below-Minimum,Large,Withdrawal,Very Large,Personal,Approved,Low,Visa,Over-Limit,Complaint,Resolved
Established,Male,Current,Mass-Market,Everyday,Deposit,Very Large,Mortgage,Rejected,High,MasterCard,Moderate,Suggestion,Pending
Early Career,Female,Savings,Comfortable,Very Large,Deposit,Large,Auto,Closed,Low,MasterCard,Low,Suggestion,Resolved
Pre-Retirement,Female,Current,Mass-Market,Large,Deposit,Large,Personal,Closed,High,MasterCard,High,Complaint,Pending
Early Career,Other,Current,Comfortable,Large,Deposit,Large,Mortgage,Rejected,High,MasterCard,High,Praise,Pending
Pre-Retirement,Other,Current,Comfortable,Very Large,Deposit,Large,Mortgage,Closed,High,MasterCard,Low,Praise,Resolved
Early Career,Female,Current,Mass-Market,Very Large,Deposit,Medium,Personal,Rejected,High,MasterCard,Low,Praise,Pending
Senior,Other,Savings,Mass-Market,Very Large,Transfer,Small,Auto,Rejected,Moderate,AMEX,Over-Limit,Praise,Resolved
Young Adult,Male,Savings,Below-Minimum,Large,Transfer,Large,Personal,Closed,Low,Visa,Moderate,Suggestion,Pending
Early Career,Other,Current,Mass-Market,Very Large,Withdrawal,Very Large,Auto,Rejected,High,AMEX,Over-Limit,Suggestion,Resolved
Pre-Retirement,Other,Current,Mass-Market,Everyday,Deposit,Very Large,Mortgage,Closed,Low,MasterCard,Over-Limit,Complaint,Pending
Established,Other,Savings,Below-Minimum,Very Large,Deposit,Large,Auto,Rejected,Low,MasterCard,Over-Limit,Praise,Resolved
Pre-Retirement,Other,Current,Comfortable,Large,Transfer,Medium,Personal,Approved,Low,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Male,Current,Comfortable,Everyday,Withdrawal,Very Large,Personal,Rejected,High,MasterCard,Moderate,Complaint,Resolved
Established,Other,Savings,Mass-Market,Everyday,Withdrawal,Very Large,Mortgage,Closed,High,Visa,High,Suggestion,Pending
Early Career,Female,Current,Comfortable,Large,Withdrawal,Medium,Personal,Approved,Low,Visa,High,Suggestion,Resolved
Pre-Retirement,Other,Savings,Comfortable,Very Large,Deposit,Very Large,Auto,Closed,Low,MasterCard,Moderate,Praise,Resolved
Senior,Other,Current,Comfortable,Everyday,Deposit,Large,Personal,Approved,Moderate,Visa,Moderate,Suggestion,Resolved
Pre-Retirement,Female,Current,Comfortable,Everyday,Withdrawal,Very Large,Personal,Rejected,Low,AMEX,Low,Suggestion,Resolved
Early Career,Male,Current,Mass-Market,Large,Deposit,Medium,Personal,Approved,Moderate,Visa,High,Praise,Resolved
Pre-Retirement,Female,Current,Comfortable,Very Large,Deposit,Very Large,Auto,Closed,Low,MasterCard,Over-Limit,Praise,Resolved
Senior,Female,Current,Below-Minimum,Large,Deposit,Very Large,Auto,Rejected,Low,MasterCard,Over-Limit,Suggestion,Pending
Early Career,Female,Current,Mass-Market,Everyday,Deposit,Small,Mortgage,Approved,Low,MasterCard,Low,Praise,Pending
Established,Female,Current,Comfortable,Large,Withdrawal,Large,Auto,Approved,Low,AMEX,Low,Suggestion,Pending
Established,Other,Current,Comfortable,Everyday,Withdrawal,Very Large,Personal,Rejected,Low,MasterCard,High,Praise,Resolved
Established,Other,Savings,Below-Minimum,Very Large,Transfer,Medium,Personal,Closed,High,MasterCard,Moderate,Suggestion,Resolved
Young Adult,Other,Savings,Below-Minimum,Everyday,Deposit,Large,Auto,Rejected,Moderate,AMEX,Over-Limit,Complaint,Resolved
Young Adult,Other,Savings,Mass-Market,Large,Deposit,Medium,Auto,Rejected,Low,AMEX,Over-Limit,Praise,Resolved
Pre-Retirement,Male,Savings,Mass-Market,Large,Deposit,Very Large,Mortgage,Closed,Moderate,AMEX,Moderate,Complaint,Pending
Pre-Retirement,Other,Current,Comfortable,Large,Transfer,Large,Auto,Approved,Low,AMEX,Low,Suggestion,Pending
